offset,coordinate,numeric_type,qc_type,field
88,goalentity,integer,entity,goalentity
1043,bot_pickupbasevalue,float,float,bot_pickupbasevalue
1215,bot_tracewalk_time,float,float,bot_tracewalk_time
1216,bot_attack,float,float,bot_attack
1217,bot_dodgerating,float,float,bot_dodgerating
1218,bot_dodge,float,float,bot_dodge
1219,bot_forced_team,float,float,bot_forced_team
1220,bot_moveskill,float,float,bot_moveskill
1221,bot_batch_wave,float,float,bot_batch_wave
1222,bot_pickup,float,float,bot_pickup
1223,bot_pickupevalfunc,integer,function,bot_pickupevalfunc
1224,cleanname,integer,string,cleanname
1225,havocbot_role_timeout,float,float,havocbot_role_timeout
1226,havocbot_role,integer,function,havocbot_role
1227,havocbot_previous_role,integer,function,havocbot_previous_role
1228,isbot,float,float,isbot
1229,lastteleporttime,float,float,lastteleporttime
1230,lastteleport_origin.x,float,vector,lastteleport_origin
1231,lastteleport_origin.y,float,vector,lastteleport_origin
1232,lastteleport_origin.z,float,vector,lastteleport_origin
1233,navigation_hasgoals,float,float,navigation_hasgoals
1234,nearestwaypointtimeout,float,float,nearestwaypointtimeout
1235,nearestwaypoint,integer,entity,nearestwaypoint
1236,speed,float,float,speed
1237,wp00,integer,entity,wp00
1238,wp01,integer,entity,wp01
1239,wp02,integer,entity,wp02
1240,wp03,integer,entity,wp03
1241,wp04,integer,entity,wp04
1242,wp05,integer,entity,wp05
1243,wp06,integer,entity,wp06
1244,wp07,integer,entity,wp07
1245,wp08,integer,entity,wp08
1246,wp09,integer,entity,wp09
1247,wp10,integer,entity,wp10
1248,wp11,integer,entity,wp11
1249,wp12,integer,entity,wp12
1250,wp13,integer,entity,wp13
1251,wp14,integer,entity,wp14
1252,wp15,integer,entity,wp15
1253,wp16,integer,entity,wp16
1254,wp17,integer,entity,wp17
1255,wp18,integer,entity,wp18
1256,wp19,integer,entity,wp19
1257,wp20,integer,entity,wp20
1258,wp21,integer,entity,wp21
1259,wp22,integer,entity,wp22
1260,wp23,integer,entity,wp23
1261,wp24,integer,entity,wp24
1262,wp25,integer,entity,wp25
1263,wp26,integer,entity,wp26
1264,wp27,integer,entity,wp27
1265,wp28,integer,entity,wp28
1266,wp29,integer,entity,wp29
1267,wp30,integer,entity,wp30
1268,wp31,integer,entity,wp31
1269,wp00mincost,float,float,wp00mincost
1270,wp01mincost,float,float,wp01mincost
1271,wp02mincost,float,float,wp02mincost
1272,wp03mincost,float,float,wp03mincost
1273,wp04mincost,float,float,wp04mincost
1274,wp05mincost,float,float,wp05mincost
1275,wp06mincost,float,float,wp06mincost
1276,wp07mincost,float,float,wp07mincost
1277,wp08mincost,float,float,wp08mincost
1278,wp09mincost,float,float,wp09mincost
1279,wp10mincost,float,float,wp10mincost
1280,wp11mincost,float,float,wp11mincost
1281,wp12mincost,float,float,wp12mincost
1282,wp13mincost,float,float,wp13mincost
1283,wp14mincost,float,float,wp14mincost
1284,wp15mincost,float,float,wp15mincost
1285,wp16mincost,float,float,wp16mincost
1286,wp17mincost,float,float,wp17mincost
1287,wp18mincost,float,float,wp18mincost
1288,wp19mincost,float,float,wp19mincost
1289,wp20mincost,float,float,wp20mincost
1290,wp21mincost,float,float,wp21mincost
1291,wp22mincost,float,float,wp22mincost
1292,wp23mincost,float,float,wp23mincost
1293,wp24mincost,float,float,wp24mincost
1294,wp25mincost,float,float,wp25mincost
1295,wp26mincost,float,float,wp26mincost
1296,wp27mincost,float,float,wp27mincost
1297,wp28mincost,float,float,wp28mincost
1298,wp29mincost,float,float,wp29mincost
1299,wp30mincost,float,float,wp30mincost
1300,wp31mincost,float,float,wp31mincost
1301,wpconsidered,float,float,wpconsidered
1302,wpcost,float,float,wpcost
1303,wpflags,float,float,wpflags
1304,wphw00,integer,entity,wphw00
1305,wphw01,integer,entity,wphw01
1306,wphw02,integer,entity,wphw02
1307,wphw03,integer,entity,wphw03
1308,wphw04,integer,entity,wphw04
1309,wphw05,integer,entity,wphw05
1310,wphw06,integer,entity,wphw06
1311,wphw07,integer,entity,wphw07
1312,goalentity_lock_timeout,float,float,goalentity_lock_timeout
1313,ignoregoaltime,float,float,ignoregoaltime
1314,ignoregoal,integer,entity,ignoregoal
1315,bot_basewaypoint,integer,entity,bot_basewaypoint
1316,navigation_dynamicgoal,float,float,navigation_dynamicgoal
3396,state,float,float,state
3515,draggedby,integer,entity,draggedby
3592,wp00_original,integer,entity,wp00_original
3593,wpfire,float,float,wpfire
3594,wpisbox,float,float,wpisbox
3595,wplinked,float,float,wplinked
3596,wp_aimed,integer,entity,wp_aimed
3597,wp_locked,integer,entity,wp_locked
3598,wpnearestpoint.x,float,vector,wpnearestpoint
3599,wpnearestpoint.y,float,vector,wpnearestpoint
3600,wpnearestpoint.z,float,vector,wpnearestpoint
5128,bot_aimdir_executed,float,float,bot_aimdir_executed
5129,bot_badaimtime,float,float,bot_badaimtime
5130,bot_aimthinktime,float,float,bot_aimthinktime
5131,bot_prevaimtime,float,float,bot_prevaimtime
5132,bot_firetimer,float,float,bot_firetimer
5133,bot_aimlatency,float,float,bot_aimlatency
5134,bot_mouseaim.x,float,vector,bot_mouseaim
5135,bot_mouseaim.y,float,vector,bot_mouseaim
5136,bot_mouseaim.z,float,vector,bot_mouseaim
5137,bot_badaimoffset.x,float,vector,bot_badaimoffset
5138,bot_badaimoffset.y,float,vector,bot_badaimoffset
5139,bot_badaimoffset.z,float,vector,bot_badaimoffset
5140,bot_1st_order_aimfilter.x,float,vector,bot_1st_order_aimfilter
5141,bot_1st_order_aimfilter.y,float,vector,bot_1st_order_aimfilter
5142,bot_1st_order_aimfilter.z,float,vector,bot_1st_order_aimfilter
5143,bot_2nd_order_aimfilter.x,float,vector,bot_2nd_order_aimfilter
5144,bot_2nd_order_aimfilter.y,float,vector,bot_2nd_order_aimfilter
5145,bot_2nd_order_aimfilter.z,float,vector,bot_2nd_order_aimfilter
5146,bot_3th_order_aimfilter.x,float,vector,bot_3th_order_aimfilter
5147,bot_3th_order_aimfilter.y,float,vector,bot_3th_order_aimfilter
5148,bot_3th_order_aimfilter.z,float,vector,bot_3th_order_aimfilter
5149,bot_4th_order_aimfilter.x,float,vector,bot_4th_order_aimfilter
5150,bot_4th_order_aimfilter.y,float,vector,bot_4th_order_aimfilter
5151,bot_4th_order_aimfilter.z,float,vector,bot_4th_order_aimfilter
5152,bot_5th_order_aimfilter.x,float,vector,bot_5th_order_aimfilter
5153,bot_5th_order_aimfilter.y,float,vector,bot_5th_order_aimfilter
5154,bot_5th_order_aimfilter.z,float,vector,bot_5th_order_aimfilter
5155,bot_olddesiredang.x,float,vector,bot_olddesiredang
5156,bot_olddesiredang.y,float,vector,bot_olddesiredang
5157,bot_olddesiredang.z,float,vector,bot_olddesiredang
5158,aistatus,float,float,aistatus
5159,bot_dodgeskill,float,float,bot_dodgeskill
5160,bot_pingskill,float,float,bot_pingskill
5161,bot_weaponskill,float,float,bot_weaponskill
5162,bot_aggresskill,float,float,bot_aggresskill
5163,bot_rangepreference,float,float,bot_rangepreference
5164,bot_aimskill,float,float,bot_aimskill
5165,bot_offsetskill,float,float,bot_offsetskill
5166,bot_mouseskill,float,float,bot_mouseskill
5167,bot_thinkskill,float,float,bot_thinkskill
5168,bot_aiskill,float,float,bot_aiskill
5169,totalfrags_lastcheck,float,float,totalfrags_lastcheck
5170,nextbot,integer,entity,nextbot
5171,netname_freeme,integer,string,netname_freeme
5172,playermodel_freeme,integer,string,playermodel_freeme
5173,playerskin_freeme,integer,string,playerskin_freeme
5174,bot_nextthink,float,float,bot_nextthink
5175,createdtime,float,float,createdtime
5176,bot_preferredcolors,float,float,bot_preferredcolors
5177,bot_pickup_respawning,float,float,bot_pickup_respawning
5178,bot_strategytime,float,float,bot_strategytime
5179,bot_jump_time,float,float,bot_jump_time
5180,bot_config_loaded,float,float,bot_config_loaded
5181,bot_ai,integer,function,bot_ai
5182,havocbot_keyboardskill,float,float,havocbot_keyboardskill
5183,lastfiredweapon,float,float,lastfiredweapon
5184,lastcombotime,float,float,lastcombotime
5185,havocbot_blockhead,float,float,havocbot_blockhead
5186,havocbot_keyboardtime,float,float,havocbot_keyboardtime
5187,havocbot_ducktime,float,float,havocbot_ducktime
5188,bot_chooseweapontime,float,float,bot_chooseweapontime
5189,rocketjumptime,float,float,rocketjumptime
5190,nextaim,float,float,nextaim
5191,havocbot_personal_waypoint_searchtime,float,float,havocbot_personal_waypoint_searchtime
5192,havocbot_personal_waypoint_failcounter,float,float,havocbot_personal_waypoint_failcounter
5193,havocbot_chooseenemy_finished,float,float,havocbot_chooseenemy_finished
5194,havocbot_stickenemy_time,float,float,havocbot_stickenemy_time
5195,bot_stop_moving_timeout,float,float,bot_stop_moving_timeout
5196,bot_lastseengoal,integer,entity,bot_lastseengoal
5197,havocbot_personal_waypoint,integer,entity,havocbot_personal_waypoint
5198,havocbot_keyboard.x,float,vector,havocbot_keyboard
5199,havocbot_keyboard.y,float,vector,havocbot_keyboard
5200,havocbot_keyboard.z,float,vector,havocbot_keyboard
5201,bot_batch_pending,float,float,bot_batch_pending
5202,bot_batch_destination.x,float,vector,bot_batch_destination
5203,bot_batch_destination.y,float,vector,bot_batch_destination
5204,bot_batch_destination.z,float,vector,bot_batch_destination
5205,bot_batch_random,float,float,bot_batch_random
5206,randomdirectiontime,float,float,randomdirectiontime
5207,randomdirection.x,float,vector,randomdirection
5208,randomdirection.y,float,vector,randomdirection
5209,randomdirection.z,float,vector,randomdirection
5210,goalcurrent,integer,entity,goalcurrent
5211,goalstack01,integer,entity,goalstack01
5212,goalstack02,integer,entity,goalstack02
5213,goalstack03,integer,entity,goalstack03
5214,goalstack04,integer,entity,goalstack04
5215,goalstack05,integer,entity,goalstack05
5216,goalstack06,integer,entity,goalstack06
5217,goalstack07,integer,entity,goalstack07
5218,goalstack08,integer,entity,goalstack08
5219,goalstack09,integer,entity,goalstack09
5220,goalstack10,integer,entity,goalstack10
5221,goalstack11,integer,entity,goalstack11
5222,goalstack12,integer,entity,goalstack12
5223,goalstack13,integer,entity,goalstack13
5224,goalstack14,integer,entity,goalstack14
5225,goalstack15,integer,entity,goalstack15
5226,goalstack16,integer,entity,goalstack16
5227,goalstack17,integer,entity,goalstack17
5228,goalstack18,integer,entity,goalstack18
5229,goalstack19,integer,entity,goalstack19
5230,goalstack20,integer,entity,goalstack20
5231,goalstack21,integer,entity,goalstack21
5232,goalstack22,integer,entity,goalstack22
5233,goalstack23,integer,entity,goalstack23
5234,goalstack24,integer,entity,goalstack24
5235,goalstack25,integer,entity,goalstack25
5236,goalstack26,integer,entity,goalstack26
5237,goalstack27,integer,entity,goalstack27
5238,goalstack28,integer,entity,goalstack28
5239,goalstack29,integer,entity,goalstack29
5240,goalstack30,integer,entity,goalstack30
5241,goalstack31,integer,entity,goalstack31
