name,source,parameter_words,local_words,local_base,statement
bot_aim,server/bot/null/bot_null.qc,7,14,52075,95094
bot_aim_reset,server/bot/default/aim.qc,1,1,52075,95268
bot_clientconnect,server/bot/null/bot_null.qc,1,2,52075,95295
bot_clientdisconnect,server/bot/null/bot_null.qc,1,3,52075,95322
bot_cmdhelp,server/bot/null/bot_null.qc,1,4,52075,95369
bot_endgame,server/bot/null/bot_null.qc,0,1,52075,95499
bot_fixcount,server/bot/null/bot_null.qc,1,5,52075,95508
bot_list_commands,server/bot/null/bot_null.qc,0,2,52075,95635
bot_queuecommand,server/bot/null/bot_null.qc,2,4,52075,95740
bot_relinkplayerlist,server/bot/null/bot_null.qc,0,3,52075,95796
bot_resetqueues,server/bot/null/bot_null.qc,0,3,52075,95844
bot_serverframe,server/bot/null/bot_null.qc,0,2,52075,95888
bot_shouldattack,server/bot/null/bot_null.qc,2,2,52075,96120
bot_think,server/bot/null/bot_null.qc,1,3,52075,96185
bot_controller_batch_run,server/bot/default/havocbot/havocbot.qc,0,5,52075,96388
bot_controller_stat_read,server/bot/default/havocbot/havocbot.qc,1,1,52075,96477
bot_controller_qc_stat,server/bot/default/havocbot/havocbot.qc,1,1,52075,96481
find_bot_by_name,server/bot/null/bot_null.qc,1,3,52075,96492
find_bot_by_number,server/bot/null/bot_null.qc,1,3,52075,96518
havocbot_goalrating_enemyplayers,server/bot/null/bot_null.qc,6,10,52075,96539
havocbot_goalrating_items,server/bot/null/bot_null.qc,6,15,52075,96664
havocbot_goalrating_waypoints,server/bot/default/havocbot/roles.qc,6,12,52075,96836
havocbot_goalrating_item_pickable_check_players,server/bot/default/havocbot/roles.qc,8,13,52075,96938
navigation_dynamicgoal_init,server/bot/default/navigation.qc,2,2,52075,97031
navigation_dynamicgoal_set,server/bot/default/navigation.qc,2,2,52075,97044
navigation_dynamicgoal_unset,server/bot/default/navigation.qc,1,1,52075,97067
navigation_findnearestwaypoint,server/bot/null/bot_null.qc,2,3,52075,97075
navigation_goalrating_end,server/bot/null/bot_null.qc,1,2,52075,97099
navigation_goalrating_start,server/bot/null/bot_null.qc,1,2,52075,97193
navigation_goalrating_timeout_set,server/bot/default/navigation.qc,1,1,52075,97212
navigation_goalrating_timeout_force,server/bot/default/navigation.qc,1,1,52075,97238
navigation_goalrating_timeout_expire,server/bot/default/navigation.qc,2,2,52075,97242
navigation_goalrating_timeout,server/bot/default/navigation.qc,1,1,52075,97256
navigation_goalrating_timeout_extend_if_needed,server/bot/default/navigation.qc,2,3,52075,97260
navigation_goalrating_timeout_can_be_anticipated,server/bot/default/navigation.qc,1,5,52075,97266
navigation_markroutes,server/bot/null/bot_null.qc,2,9,52075,97331
navigation_markroutes_inverted,server/bot/null/bot_null.qc,1,15,52075,97894
navigation_routerating,server/bot/null/bot_null.qc,4,22,52075,98033
get_closer_dest,server/bot/default/navigation.qc,4,13,52075,98684
set_tracewalk_dest,server/bot/default/navigation.qc,5,11,52075,98718
set_tracewalk_dest_2,server/bot/default/navigation.qc,4,13,52075,98837
tracewalk,server/bot/null/bot_null.qc,15,35,52075,98877
waypoint_remove_fromeditor,server/bot/null/bot_null.qc,1,11,52075,99651
waypoint_remove,server/bot/null/bot_null.qc,1,5,52075,99883
waypoint_saveall,server/bot/null/bot_null.qc,0,8,52075,99944
waypoint_schedulerelinkall,server/bot/null/bot_null.qc,0,4,52075,100228
waypoint_schedulerelink,server/bot/null/bot_null.qc,1,1,52075,100263
waypoint_spawnforitem,server/bot/null/bot_null.qc,1,1,52075,100302
waypoint_spawnforitem_force,server/bot/null/bot_null.qc,4,8,52075,100308
waypoint_spawnforteleporter,server/bot/null/bot_null.qc,6,6,52075,100367
waypoint_spawnforteleporter_wz,server/bot/null/bot_null.qc,2,16,52075,100385
waypoint_spawn_fromeditor,server/bot/null/bot_null.qc,5,27,52075,100484
waypoint_spawn,server/bot/null/bot_null.qc,7,11,52075,101407
waypoint_unreachable,server/bot/default/waypoints.qc,1,9,52075,101622
waypoint_start_hardwiredlink,server/bot/default/waypoints.qc,2,4,52075,102378
waypoint_lock,server/bot/default/waypoints.qc,1,1,52075,102473
waypoint_getSymmetricalOrigin_cmd,server/bot/default/waypoints.qc,3,8,52075,102478
waypoint_getSymmetricalAxis_cmd,server/bot/default/waypoints.qc,3,6,52075,102699
waypoint_has_hardwiredlinks,server/bot/default/waypoints.qc,1,1,52075,313254
waypoint_is_hardwiredlink,server/bot/default/waypoints.qc,2,2,52075,313260
waypoint_mark_hardwiredlink,server/bot/default/waypoints.qc,2,2,52075,313324
waypoint_unmark_hardwiredlink,server/bot/default/waypoints.qc,2,2,52075,313429
waypoint_removelink,server/bot/default/waypoints.qc,2,3,52075,313547
waypoint_getlinknum,server/bot/default/waypoints.qc,2,2,52075,313831
waypoint_islinked,server/bot/default/waypoints.qc,2,2,52075,313961
waypoint_addlink_customcost,server/bot/default/waypoints.qc,3,3,52075,313967
waypoint_addlink,server/bot/default/waypoints.qc,2,2,52075,314442
