offset,coordinate,numeric_type,qc_type,field
5916,aiment,integer,entity,aiment
5917,chain,integer,entity,chain
5918,clientcamera,integer,entity,clientcamera
5919,cursor_trace_ent,integer,entity,cursor_trace_ent
5920,dmg_inflictor,integer,entity,dmg_inflictor
5921,drawonlytoclient,integer,entity,drawonlytoclient
5922,enemy,integer,entity,enemy
5923,exteriormodeltoclient,integer,entity,exteriormodeltoclient
5924,goalentity,integer,entity,goalentity
5925,groundentity,integer,entity,groundentity
5926,nodrawtoclient,integer,entity,nodrawtoclient
5927,owner,integer,entity,owner
5928,tag_entity,integer,entity,tag_entity
5929,viewmodelforclient,integer,entity,viewmodelforclient
5930,SendFlags,float,float,SendFlags
5931,Version,float,float,Version
5932,alpha,float,float,alpha
5933,ammo_cells,float,float,ammo_cells
5934,ammo_cells1,float,float,ammo_cells1
5935,ammo_lava_nails,float,float,ammo_lava_nails
5936,ammo_multi_rockets,float,float,ammo_multi_rockets
5937,ammo_nails,float,float,ammo_nails
5938,ammo_nails1,float,float,ammo_nails1
5939,ammo_plasma,float,float,ammo_plasma
5940,ammo_rockets,float,float,ammo_rockets
5941,ammo_rockets1,float,float,ammo_rockets1
5942,ammo_shells,float,float,ammo_shells
5943,ammo_shells1,float,float,ammo_shells1
5944,armortype,float,float,armortype
5945,armorvalue,float,float,armorvalue
5946,bouncefactor,float,float,bouncefactor
5947,bouncestop,float,float,bouncestop
5948,button0,float,float,button0
5949,button1,float,float,button1
5950,button2,float,float,button2
5951,button3,float,float,button3
5952,button4,float,float,button4
5953,button5,float,float,button5
5954,button6,float,float,button6
5955,button7,float,float,button7
5956,button8,float,float,button8
5957,button9,float,float,button9
5958,button10,float,float,button10
5959,button11,float,float,button11
5960,button12,float,float,button12
5961,button13,float,float,button13
5962,button14,float,float,button14
5963,button15,float,float,button15
5964,button16,float,float,button16
5965,buttonchat,float,float,buttonchat
5966,buttonuse,float,float,buttonuse
5967,clientcolors,float,float,clientcolors
5968,colormap,float,float,colormap
5969,currentammo,float,float,currentammo
5970,cursor_active,float,float,cursor_active
5971,deadflag,float,float,deadflag
5972,disableclientprediction,float,float,disableclientprediction
5973,discardabledemo,float,float,discardabledemo
5974,dmg_save,float,float,dmg_save
5975,dmg_take,float,float,dmg_take
5976,dphitcontentsmask,float,float,dphitcontentsmask
5977,effects,float,float,effects
5978,fixangle,float,float,fixangle
5979,flags,float,float,flags
5980,frags,float,float,frags
5981,frame,float,float,frame
5982,frame1time,float,float,frame1time
5983,frame2,float,float,frame2
5984,frame2time,float,float,frame2time
5985,frame3,float,float,frame3
5986,frame3time,float,float,frame3time
5987,frame4,float,float,frame4
5988,frame4time,float,float,frame4time
5989,fullbright,float,float,fullbright
5990,glow_color,float,float,glow_color
5991,glow_size,float,float,glow_size
5992,glow_trail,float,float,glow_trail
5993,gravity,float,float,gravity
5994,health,float,float,health
5995,ideal_yaw,float,float,ideal_yaw
5996,idealpitch,float,float,idealpitch
5997,impulse,float,float,impulse
5998,items,float,float,items
5999,items2,float,float,items2
6000,geomtype,float,float,geomtype
6001,jointtype,float,float,jointtype
6002,forcetype,float,float,forcetype
6003,lerpfrac,float,float,lerpfrac
6004,lerpfrac3,float,float,lerpfrac3
6005,lerpfrac4,float,float,lerpfrac4
6006,light_lev,float,float,light_lev
6007,ltime,float,float,ltime
6008,mass,float,float,mass
6009,massofs.x,float,vector,massofs
6010,massofs.y,float,vector,massofs
6011,massofs.z,float,vector,massofs
6012,friction,float,float,friction
6013,maxcontacts,float,float,maxcontacts
6014,erp,float,float,erp
6015,max_health,float,float,max_health
6016,modelflags,float,float,modelflags
6017,modelindex,float,float,modelindex
6018,movetype,float,float,movetype
6019,nextthink,float,float,nextthink
6020,pflags,float,float,pflags
6021,ping,float,float,ping
6022,ping_movementloss,float,float,ping_movementloss
6023,ping_packetloss,float,float,ping_packetloss
6024,pitch_speed,float,float,pitch_speed
6025,pmodel,float,float,pmodel
6026,renderamt,float,float,renderamt
6027,scale,float,float,scale
6028,modelscale_vec.x,float,vector,modelscale_vec
6029,modelscale_vec.y,float,vector,modelscale_vec
6030,modelscale_vec.z,float,vector,modelscale_vec
6031,sendcomplexanimation,float,float,sendcomplexanimation
6032,skeletonindex,float,float,skeletonindex
6033,skin,float,float,skin
6034,solid,float,float,solid
6035,sounds,float,float,sounds
6036,spawnflags,float,float,spawnflags
6037,style,float,float,style
6038,tag_index,float,float,tag_index
6039,takedamage,float,float,takedamage
6040,team,float,float,team
6041,teleport_time,float,float,teleport_time
6042,traileffectnum,float,float,traileffectnum
6043,viewzoom,float,float,viewzoom
6044,waterlevel,float,float,waterlevel
6045,watertype,float,float,watertype
6046,weapon,float,float,weapon
