offset,coordinate,numeric_type,qc_type,field
53188,msg_entity,integer,entity,msg_entity
53189,other,integer,entity,other
53190,self,integer,entity,self
53191,trace_ent,integer,entity,trace_ent
53192,world,integer,entity,world
53193,coop,float,float,coop
53194,deathmatch,float,float,deathmatch
53195,force_retouch,float,float,force_retouch
53196,found_secrets,float,float,found_secrets
53197,frametime,float,float,frametime
53198,gettaginfo_parent,float,float,gettaginfo_parent
53199,killed_monsters,float,float,killed_monsters
53200,parm1,float,float,parm1
53201,parm2,float,float,parm2
53202,parm3,float,float,parm3
53203,parm4,float,float,parm4
53204,parm5,float,float,parm5
53205,parm6,float,float,parm6
53206,parm7,float,float,parm7
53207,parm8,float,float,parm8
53208,parm9,float,float,parm9
53209,parm10,float,float,parm10
53210,parm11,float,float,parm11
53211,parm12,float,float,parm12
53212,parm13,float,float,parm13
53213,parm14,float,float,parm14
53214,parm15,float,float,parm15
53215,parm16,float,float,parm16
53216,require_spawnfunc_prefix,float,float,require_spawnfunc_prefix
53217,serverflags,float,float,serverflags
53218,teamplay,float,float,teamplay
53219,time,float,float,time
53220,total_monsters,float,float,total_monsters
53221,total_secrets,float,float,total_secrets
53222,trace_allsolid,float,float,trace_allsolid
53223,trace_dphitcontents,float,float,trace_dphitcontents
53224,trace_dphitq3surfaceflags,float,float,trace_dphitq3surfaceflags
53225,trace_dpstartcontents,float,float,trace_dpstartcontents
53226,trace_fraction,float,float,trace_fraction
53227,trace_inopen,float,float,trace_inopen
53228,trace_inwater,float,float,trace_inwater
53229,trace_plane_dist,float,float,trace_plane_dist
53230,trace_startsolid,float,float,trace_startsolid
53231,SV_InitCmd,integer,string,SV_InitCmd
53232,gettaginfo_name,integer,string,gettaginfo_name
53233,mapname,integer,string,mapname
53234,trace_dphittexturename,integer,string,trace_dphittexturename
53235,worldstatus,integer,string,worldstatus
53236,gettaginfo_forward.x,float,vector,gettaginfo_forward
53237,gettaginfo_forward.y,float,vector,gettaginfo_forward
53238,gettaginfo_forward.z,float,vector,gettaginfo_forward
53239,gettaginfo_offset.x,float,vector,gettaginfo_offset
53240,gettaginfo_offset.y,float,vector,gettaginfo_offset
53241,gettaginfo_offset.z,float,vector,gettaginfo_offset
53242,gettaginfo_right.x,float,vector,gettaginfo_right
53243,gettaginfo_right.y,float,vector,gettaginfo_right
53244,gettaginfo_right.z,float,vector,gettaginfo_right
53245,gettaginfo_up.x,float,vector,gettaginfo_up
53246,gettaginfo_up.y,float,vector,gettaginfo_up
53247,gettaginfo_up.z,float,vector,gettaginfo_up
53248,trace_endpos.x,float,vector,trace_endpos
53249,trace_endpos.y,float,vector,trace_endpos
53250,trace_endpos.z,float,vector,trace_endpos
53251,trace_plane_normal.x,float,vector,trace_plane_normal
53252,trace_plane_normal.y,float,vector,trace_plane_normal
53253,trace_plane_normal.z,float,vector,trace_plane_normal
53254,v_forward.x,float,vector,v_forward
53255,v_forward.y,float,vector,v_forward
53256,v_forward.z,float,vector,v_forward
53257,v_right.x,float,vector,v_right
53258,v_right.y,float,vector,v_right
53259,v_right.z,float,vector,v_right
53260,v_up.x,float,vector,v_up
53261,v_up.y,float,vector,v_up
53262,v_up.z,float,vector,v_up
