offset,name,type
0,,void
28,self,entity
29,other,entity
30,world,entity
31,time,float
32,frametime,float
33,force_retouch,float
34,mapname,string
35,deathmatch,float
36,coop,float
37,teamplay,float
38,serverflags,float
39,total_secrets,float
40,total_monsters,float
41,found_secrets,float
42,killed_monsters,float
43,parm1,float
44,parm2,float
45,parm3,float
46,parm4,float
47,parm5,float
48,parm6,float
49,parm7,float
50,parm8,float
51,parm9,float
52,parm10,float
53,parm11,float
54,parm12,float
55,parm13,float
56,parm14,float
57,parm15,float
58,parm16,float
59,v_forward,vector
59,v_forward_x,float
60,v_forward_y,float
61,v_forward_z,float
62,v_up,vector
62,v_up_x,float
63,v_up_y,float
64,v_up_z,float
65,v_right,vector
65,v_right_x,float
66,v_right_y,float
67,v_right_z,float
68,trace_allsolid,float
69,trace_startsolid,float
70,trace_fraction,float
71,trace_endpos,vector
71,trace_endpos_x,float
72,trace_endpos_y,float
73,trace_endpos_z,float
74,trace_plane_normal,vector
74,trace_plane_normal_x,float
75,trace_plane_normal_y,float
76,trace_plane_normal_z,float
77,trace_plane_dist,float
78,trace_ent,entity
79,trace_inopen,float
80,trace_inwater,float
81,msg_entity,entity
82,main,function
83,StartFrame,function
84,PlayerPreThink,function
85,PlayerPostThink,function
86,ClientKill,function
87,ClientConnect,function
88,PutClientInServer,function
89,ClientDisconnect,function
90,SetNewParms,function
91,SetChangeParms,function
92,end_sys_globals,void
93,end_sys_fields,void
94,_FALSE,float
95,_TRUE,float
96,FL_FLY,float
97,FL_SWIM,float
98,FL_CLIENT,float
99,FL_INWATER,float
100,FL_MONSTER,float
101,FL_GODMODE,float
102,FL_NOTARGET,float
103,FL_ITEM,float
104,FL_ONGROUND,float
105,FL_PARTIALGROUND,float
106,FL_WATERJUMP,float
107,FL_JUMPRELEASED,float
108,MOVETYPE_NONE,float
109,MOVETYPE_WALK,float
110,MOVETYPE_STEP,float
111,MOVETYPE_FLY,float
112,MOVETYPE_TOSS,float
113,MOVETYPE_PUSH,float
114,MOVETYPE_NOCLIP,float
